tnum	10	20	30
2	690	580	567	545
4	563	510	490	485
6	508	510	477	498
8	492	479	479	527
10	488	494	477	484
12	493	466	480	484
14	473	498	462	495
16	473	491	476	697
18	843	920	935	965
20	902	907	1075	890
22	887	921	928	934
24	913	896	894	936
26	855	915	956	948
28	923	938	923	915
30	889	955	931	968
32	883	921	924	987
34	878	908	933	1001
36	908	943	916	956
38	851	847	938	939
40	826	870	894	947
42	839	885	893	954
44	844	857	904	963
46	840	886	931	983
48	830	878	938	1008
50	808	851	671	537
52	460	471	509	536
54	458	486	512	550
56	452	477	514	552
58	454	480	516	551
60	456	483	520	567
62	467	487	525	572
64	463	516	527	578
66	457	488	523	596
68	461	506	528	596
70	459	500	542	612
72	460	503	550	626
74	480	509	544	608
76	460	504	547	618
78	458	505	557	637
80	460	520	567	633
82	459	505	564	654
84	474	528	588	665
86	472	533	595	673
88	459	519	579	653
90	458	515	582	676
92	463	523	597	688
94	478	531	600	673
96	489	539	612	720
98	472	490	540	670
100	491	520	610	670
102	421	510	600	700
104	451	520	600	660
106	451	520	610	730
108	471	530	620	700
110	452	520	670	690
112	451	520	630	710
114	461	520	620	700
116	451	530	620	710
118	451	530	630	730
120	441	540	630	730
122	461	560	620	740
124	451	540	620	730
126	451	550	680	750
128	461	540	640	750
130	451	540	640	760
132	461	540	640	710
134	461	600	670	770
136	471	560	640	820
138	471	560	690	780
140	471	550	670	770
142	461	560	620	780
144	461	580	690	790
146	471	560	690	800
148	461	570	690	800
150	461	580	680	810
152	471	550	680	800
154	481	580	710	840
156	481	580	710	870
158	481	620	740	880
160	491	600	730	850
162	481	590	720	880
164	481	590	710	830
166	461	590	700	850
168	471	600	750	860
170	481	600	730	870
172	471	630	750	880
174	481	610	730	880
176	471	600	730	890
178	531	680	810	960
180	531	680	810	997
182	582	689	898	1020
184	527	691	832	967
186	506	646	832	1039
188	522	724	857	1043
190	536	698	850	1052
192	515	674	886	976
194	530	686	859	986
196	508	665	811	981
198	510	705	816	1067
200	560	750	882	1044
202	516	702	854	1316
204	981	1330	1635	1981
206	969	1327	1637	2017
208	993	1286	1640	1978
210	986	1294	1600	1978
212	992	1273	1629	1983
214	1020	1321	1665	1993
216	953	1274	1601	2018
218	1011	1274	1665	2015
220	1004	1323	1644	2022
222	964	1321	1641	1973
224	1024	1344	1777	2192
226	1028	1382	1713	2132
228	1031	1359	1750	2099
230	1037	1378	1787	2173
232	1075	1387	1730	2117
234	1026	1386	1754	2160
236	1034	1104	968	1181
238	535	729	930	1133
240	531	733	920	1133
242	555	736	933	1124
244	544	734	915	1125
246	535	733	923	1129
248	527	715	943	1122
250	551	764	1010	1228
252	568	763	992	1217
254	564	768	989	1216
256	570	777	1012	1261
258	567	765	999	1338
260	1030	1420	1828	2238
262	1024	1427	1821	2258
264	1021	1426	1881	2242
266	1030	1428	1835	2255
268	1045	1412	1868	2263
270	1043	1428	1847	2265
272	1036	1467	1827	2288
274	1030	1425	1840	2246
276	1031	1424	1834	2256
278	1031	1413	1821	2269
280	1104	1417	1821	2234
282	1030	1449	1815	2260
284	1023	1430	1860	2237
286	1072	1495	2019	2456
288	1085	1509	1980	2445
290	1073	1596	1998	2585
292	1076	1514	2043	2518
294	1109	1535	2029	2589
296	1124	1555	2017	2515
298	1110	1554	2033	2558
300	1097	1541	2069	2579
302	1113	1576	2106	2602
304	1110	1574	2039	2555
306	1138	903	1096	1351
308	595	836	1106	1383
310	580	842	1084	1379
312	608	853	1093	1369
314	598	861	1121	1384
316	597	856	1108	1366
318	600	835	1120	2344
320	1100	1577	2064	2560
322	1114	1554	2128	2570
324	1127	1551	2073	2576
